id,nombre,codigo,descripcion,creado_en,actualizado_en,act_economica_id,imagen_portada_url,tipo_carrera_id,nivel,creditos,descripcion_2,duracion,slug,titulo,titulo_comercial
13,Panadería y Pastelería,C0610-1-001,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,8,,4,Auxiliar Técnico,,,,,,
6,Corte y Ensamblaje,CO714-1-003,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,5,,4,Auxiliar Técnico,,,,,,
7,Costura y Acabados,CO714-1-004,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,5,,4,Auxiliar Técnico,,,,,,
4,Soporte Técnico y Operaciones de Centros de Computo,J2662-1-001,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,4,,4,Auxiliar Técnico,,,,,,
16,Servicios Básicos Gastronómicos,,,,,8,,4,Auxiliar Técnico,,,,,,
1,Peluquería y Barbería,S3496-1-001,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,1,,4,Auxiliar Técnico,,,,,,
17,Hilandería,,,,,,,3,Auxiliar Técnico,,,,,,
18,Equipos Electrónicos de Consumo,,,,,,,3,Auxiliar Técnico,,,,,,
12,Manualidades,,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,7,,3,Auxiliar Técnico,,,,,,
15,Mantenimiento Básico de Casas y Edificios,,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,9,,3,Auxiliar Técnico,,,,,,
5,Operación de Computadoras,,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,4,,3,Auxiliar Técnico,,,,,,
9,Confección Textil,,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,5,,3,Auxiliar Técnico,,,,,,
20,Asistencia en Cocina,,,,,,,3,Auxiliar Técnico,,,,,,
21,Peluquería,,,,,,,3,Auxiliar Técnico,,,,,,
22,Asistencia de Pastelería y Panadería,,,,,,,3,Auxiliar Técnico,,,,,,
23,Cuero y Calzado,,,,,,,3,Auxiliar Técnico,,,,,,
8,Bordados Computarizados y Manuales,,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,5,,3,Auxiliar Técnico,,,,,,
11,Confección de Artículos de Cuero y Marroquinería,C0715-1-002,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,6,,4,Auxiliar Técnico,,,,,,
10,Corte Aparado y Armado de Calzado,C0715-1-001,,2026-06-21 16:40:26.514+00,2026-06-21 16:40:26.514+00,6,,4,Auxiliar Técnico,,,,,,
