id,activo,creditos,descripcion,horas,metas,orden,slug,titulo,titulo_comercial,plan_id,carrera_id,descripcion_2
14,t,20,,528,15,1,bordado-computarizado,Bordados Computarizado,Bordados Computarizado,8,,
17,t,20,,528,15,1,disenio-corte-articulos-cuero,Diseño y Corte de Articulos de Cuero,Patronaje y Corte de Artículos de Cuero y Marroquinería,11,,
18,t,20,,528,15,2,ensamblado-acabado-articulos-cuero,Ensamblado y Acabado de Artículos de Cuero,Ensamblado y Acabado de Artículos de Cuero,11,,
10,t,21,,560,15,1,tizado-tendido-corte,"Técnicas de Tizado, Tendido y Corte de Prendas de Vestir","Técnicas de Tizado, Tendido y Corte de Prendas de Vestir",6,,
11,t,19,,544,15,2,confeccion-prendas-vestir,Técnicas de Confección de Prendas de Vestir,Técnicas de Confección de Prendas de Vestir,6,,
13,t,19,,528,15,2,tecnicas-acabados-prendas-vestir,Técnicas de Procesos de Acabados en Prendas de Vestir,Técnicas de Procesos de Acabados en Prendas de Vestir,7,,
1,t,20,,528,15,1,corte-barba-peinado,"Corte De Cabello, Barba y Peinado","Corte De Cabello, Barba y Peinado",1,,
2,t,20,,528,15,2,capilar-coloracion-ondulacion-laceado,"Tratamiento Capilar, Coloración, Ondulación y Laceado","Tratamiento Capilar, Trituración, Ondulación, Laceado",1,,
15,t,,,300,15,1,tejido-maquina,Tejido a Maquina,Tejido a Maquina,9,,
16,t,,,300,15,2,tejido-mano,Tejido a Mano,Tejido a Mano,9,,
5,t,20,,528,15,1,incidentes-operatividad-computo,Atención de Incidentes y Problemas de Operatividad en El Centro de Cómputo,Atención De Incidentes y Problemas de Operatividad en El Centro de Cómputo,4,,
6,t,20,,528,15,2,monitoreo-mantenimiento-computo,Monitoreo y Acciones de Mantenimiento de Centros de Cómputo,Monitoreo y Acciones de Mantenimiento de Centros de Cómputo,4,,
4,t,,,300,15,2,intalaciones-electricas,Mantenimiento de Instalaciones Eléctricas Domiciliarias,Instalaciones Eléctricas,3,,
7,t,,,300,15,1,ofimatica,Ofimática,Ofimática,5,,
8,t,,,300,15,2,disenio-publicitario,Diseño Publicitario,Diseño Publicitario,5,,
9,t,,,300,15,3,disenio-web,Diseño Web,Diseño Web,5,,
3,t,,,300,15,1,reparacion-celulares,Mantenimiento de Teléfonos Celulares,Reparacion de Celulares,2,,
19,t,20,,528,15,1,disenio-corte-calzado,Diseño y Corte de Calzado,Patronaje y Corte de Calzado,10,,
20,t,20,,528,15,2,aparado-armado-acabado-calzado,"Aparado, Armado y Acabado de Calzado","Aparado, Armado y Acabado de Calzado",10,,
26,t,20,,528,15,2,decoracion-presentacion-panaderia-pasteleria,Decoración y Presentación de los Productos de Panadería y Pastelería,Productos Pastelería y Panadería 2,13,,
21,t,,,300,15,1,decoracion-eventos-especiales,Decoración de Eventos Especiales,Decoración de Eventos Especiales,12,,
22,t,,,150,15,2,bisuteria,Bisuterías,Bisutería,12,,
24,t,,,150,15,4,ceramica-al-frio,Cerámica al Frio,Cerámica al Frio,12,,
27,t,,,300,15,1,decoracion-tortas,Técnicas de Decoración de Tortas,Técnicas de Decoración de Tortas,14,,
28,t,,,300,15,2,buffet,Buffet,Buffet,14,,
29,t,,,300,15,3,cocina-nacional,Cocina Nacional,Cocina Nacional,14,,
30,t,,,300,15,4,tecnicas-culinarias,Técnicas Culinarias,Técnicas Culinarias,14,,
31,t,,,300,15,1,carpinteria-madera,Mantenimiento de Carpintería,Carpintería en Madera,15,,
32,t,,,300,15,2,carpinteria-melamine,Confección de Muebles en Melamina,Carpintería en Melamina,15,,
25,t,20,,528,15,1,acondicionamiento-y-elaboracion-de-productos-de-panaderia-y-pasteleria,Acondicionamiento y Elaboración de Productos de Panadería y Pastelería,Productos Pastelería y Panadería 1,13,,
33,t,14,,336,15,,operaciones-basicas-de-cocina-y-manejo-de-insumos,Operaciones Básicas de Cocina y Manejo de Insumos,,16,,
34,t,20,,528,15,,soporte-y-mantenimiento-de-sistemas-informaticos,Soporte y Mantenimiento de Sistemas Informáticos,,4,,
23,t,,,150,15,3,pintura-decorativa,Pintura Decorativa,Pintura Decorativa,12,,
