id,archivado,descripcion,titulo
15,f,"Paquete individual generado para el modulo Corte De Cabello, Barba y Peinado","Corte De Cabello, Barba y Peinado"
16,f,"Paquete individual generado para el modulo Tratamiento Capilar, Trituración, Ondulación, Laceado","Tratamiento Capilar, Trituración, Ondulación, Laceado"
17,f,Paquete individual generado para el modulo Reparacion de Celulares,Reparacion de Celulares
18,f,Paquete individual generado para el modulo Instalaciones Eléctricas,Instalaciones Eléctricas
19,f,Paquete individual generado para el modulo Atención De Incidentes y Problemas de Operatividad en El Centro de Cómputo,Atención De Incidentes y Problemas de Operatividad en El Centro de Cómputo
20,f,Paquete individual generado para el modulo Monitoreo y Acciones de Mantenimiento de Centros de Cómputo,Monitoreo y Acciones de Mantenimiento de Centros de Cómputo
21,f,Paquete individual generado para el modulo Ofimática,Ofimática
22,f,Paquete individual generado para el modulo Diseño Publicitario,Diseño Publicitario
23,f,Paquete individual generado para el modulo Diseño Web,Diseño Web
24,f,"Paquete individual generado para el modulo Técnicas de Tizado, Tendido y Corte de Prendas de Vestir","Técnicas de Tizado, Tendido y Corte de Prendas de Vestir"
25,f,Paquete individual generado para el modulo Técnicas de Confección de Prendas de Vestir,Técnicas de Confección de Prendas de Vestir
26,f,Paquete individual generado para el modulo Técnicas de Procesos de Acabados en Prendas de Vestir,Técnicas de Procesos de Acabados en Prendas de Vestir
27,f,Paquete individual generado para el modulo Bordados Computarizado,Bordados Computarizado
28,f,Paquete individual generado para el modulo Tejido a Maquina,Tejido a Maquina
29,f,Paquete individual generado para el modulo Tejido a Mano,Tejido a Mano
30,f,Paquete individual generado para el modulo Patronaje y Corte de Artículos de Cuero y Marroquinería,Patronaje y Corte de Artículos de Cuero y Marroquinería
31,f,Paquete individual generado para el modulo Ensamblado y Acabado de Artículos de Cuero,Ensamblado y Acabado de Artículos de Cuero
32,f,Paquete individual generado para el modulo Patronaje y Corte de Calzado,Patronaje y Corte de Calzado
33,f,"Paquete individual generado para el modulo Aparado, Armado y Acabado de Calzado","Aparado, Armado y Acabado de Calzado"
34,f,Paquete individual generado para el modulo Decoración de Eventos Especiales,Decoración de Eventos Especiales
35,f,Paquete individual generado para el modulo Bisutería,Bisutería
37,f,Paquete individual generado para el modulo Cerámica al Frio,Cerámica al Frio
38,f,Paquete individual generado para el modulo Productos Pastelería y Panadería 1,Productos Pastelería y Panadería 1
39,f,Paquete individual generado para el modulo Productos Pastelería y Panadería 2,Productos Pastelería y Panadería 2
40,f,Paquete individual generado para el modulo Técnicas de Decoración de Tortas,Técnicas de Decoración de Tortas
41,f,Paquete individual generado para el modulo Buffet,Buffet
42,f,Paquete individual generado para el modulo Cocina Nacional,Cocina Nacional
43,f,Paquete individual generado para el modulo Técnicas Culinarias,Técnicas Culinarias
44,f,Paquete individual generado para el modulo Carpintería en Madera,Carpintería en Madera
45,f,Paquete individual generado para el modulo Carpintería en Melamina,Carpintería en Melamina
46,f,Paquete individual generado para el modulo Operaciones Básicas de Cocina y Manejo de Insumos,Operaciones Básicas de Cocina y Manejo de Insumos
47,f,Paquete individual generado para el modulo Soporte y Mantenimiento de Sistemas Informáticos,Soporte y Mantenimiento de Sistemas Informáticos
36,f,Paquete individual generado para el modulo Pintura Decorativa,Pintura Decorativa
81,f,,Pintura Decorativa / Cerámica al Frio
114,f,,Bisutería / Pintura Decorativa
