"id","titulo","titulo_comercial","duracion_efsrt","creditos_efsrt"
"1","Corte De Cabello, Barba y Peinado","Corte De Cabello, Barba y Peinado","",""
"2","Tratamiento Capilar, Coloración, Ondulación y Laceado","Tratamiento Capilar, Trituración, Ondulación, Laceado","",""
"3","Mantenimiento de Teléfonos Celulares","Reparacion de Celulares","",""
"4","Mantenimiento de Instalaciones Eléctricas Domiciliarias","Instalaciones Eléctricas","",""
"5","Atención de Incidentes y Problemas de Operatividad en El Centro de Cómputo","Atención De Incidentes y Problemas de Operatividad en El Centro de Cómputo","",""
"6","Monitoreo y Acciones de Mantenimiento de Centros de Cómputo","Monitoreo y Acciones de Mantenimiento de Centros de Cómputo","",""
"7","Ofimática","Ofimática","",""
"8","Diseño Publicitario","Diseño Publicitario","",""
"9","Diseño Web","Diseño Web","",""
"10","Técnicas de Tizado, Tendido y Corte de Prendas de Vestir","Técnicas de Tizado, Tendido y Corte de Prendas de Vestir","",""
"11","Técnicas de Confección de Prendas de Vestir","Técnicas de Confección de Prendas de Vestir","",""
"13","Técnicas de Procesos de Acabados en Prendas de Vestir","Técnicas de Procesos de Acabados en Prendas de Vestir","",""
"14","Bordados Computarizado","Bordados Computarizado","",""
"15","Tejido a Maquina","Tejido a Maquina","",""
"16","Tejido a Mano","Tejido a Mano","",""
"17","Diseño y Corte de Articulos de Cuero","Patronaje y Corte de Artículos de Cuero y Marroquinería","",""
"18","Ensamblado y Acabado de Artículos de Cuero","Ensamblado y Acabado de Artículos de Cuero","",""
"19","Diseño y Corte de Calzado","Patronaje y Corte de Calzado","",""
"20","Aparado, Armado y Acabado de Calzado","Aparado, Armado y Acabado de Calzado","",""
"21","Decoración de Eventos Especiales","Decoración de Eventos Especiales","",""
"22","Bisuterías","Bisutería","",""
"23","Pintura Decorativa","Pintura Decorativa","",""
"24","Cerámica al Frio","Cerámica al Frio","",""
"25","Acondicionamiento y Elaboración de Productos de Panadería y Pastelería","Productos Pastelería y Panadería 1","",""
"26","Decoración y Presentación de los Productos de Panadería y Pastelería","Productos Pastelería y Panadería 2","",""
"27","Técnicas de Decoración de Tortas","Técnicas de Decoración de Tortas","",""
"28","Buffet","Buffet","",""
"29","Cocina Nacional","Cocina Nacional","",""
"30","Técnicas Culinarias","Técnicas Culinarias","",""
"31","Mantenimiento de Carpintería","Carpintería en Madera","",""
"32","Confección de Muebles en Melamina","Carpintería en Melamina","",""
"33","Operaciones Básicas de Cocina y Manejo de Insumos","","",""
"35","Operatividad de Máquinas de Confección","Operatividad de Máquinas de Confección","",""
